# x_m,y_m,w_tr_right_m,w_tr_left_m
-35.0951,21.8528,0.7026,0.7026
-35.0951,21.7815,0.6768,0.6768
-35.0951,21.7101,0.6577,0.6577
-35.0951,21.6388,0.6460,0.6460
-35.0238,21.5675,0.7026,0.7026
-35.0238,21.4961,0.6768,0.6768
-35.0238,21.4248,0.6577,0.6577
-35.0238,21.3534,0.6460,0.6460
-34.9525,21.2821,0.7026,0.7026
-34.9525,21.2108,0.6768,0.6768
-34.9525,21.1394,0.6577,0.6577
-34.9525,21.0681,0.6460,0.6460
-34.8811,20.9967,0.7026,0.7026
-34.8811,20.9254,0.6768,0.6768
-34.8811,20.8541,0.6577,0.6577
-34.8811,20.7827,0.6460,0.6460
-34.8098,20.7114,0.7026,0.7026
-34.8098,20.6400,0.6768,0.6768
-34.8098,20.5687,0.6577,0.6577
-34.8098,20.4974,0.6460,0.6460
-34.7384,20.4260,0.7026,0.7026
-34.7384,20.3547,0.6768,0.6768
-34.7384,20.2833,0.6577,0.6577
-34.7384,20.2120,0.6460,0.6460
-34.6671,20.1407,0.7026,0.7026
-34.6671,20.0693,0.6768,0.6768
-34.6671,19.9980,0.6577,0.6577
-34.6671,19.9266,0.6460,0.6460
-34.5958,19.8553,0.7026,0.7026
-34.5958,19.7840,0.6768,0.6768
-34.5958,19.7126,0.6577,0.6577
-34.5244,19.6413,0.7170,0.7170
-34.5244,19.5699,0.7026,0.7026
-34.5244,19.4986,0.6768,0.6768
-34.5244,19.4273,0.6577,0.6577
-34.4531,19.3559,0.7170,0.7170
-34.4531,19.2846,0.7026,0.7026
-34.4531,19.2132,0.6768,0.6768
-34.4531,19.1419,0.6577,0.6577
-34.3817,19.0706,0.7170,0.7170
-34.3817,18.9992,0.7026,0.7026
-34.3817,18.9279,0.6768,0.6768
-34.3817,18.8565,0.6577,0.6577
-34.3104,18.7852,0.7170,0.7170
-34.3104,18.7139,0.7026,0.7026
-34.3104,18.6425,0.6768,0.6768
-34.3104,18.5712,0.6577,0.6577
-34.2391,18.4998,0.7026,0.7026
-34.2391,18.4285,0.6768,0.6768
-34.2391,18.3572,0.6577,0.6577
-34.2391,18.2858,0.6460,0.6460
-34.1677,18.2145,0.7026,0.7026
-34.1677,18.1431,0.6768,0.6768
-34.1677,18.0718,0.6577,0.6577
-34.1677,18.0005,0.6460,0.6460
-34.0964,17.9291,0.7026,0.7026
-34.0964,17.8578,0.6768,0.6768
-34.0964,17.7864,0.6577,0.6577
-34.0250,17.7151,0.7026,0.7026
-34.0250,17.6438,0.7026,0.7026
-34.0250,17.5724,0.6768,0.6768
-33.9537,17.5011,0.7026,0.7026
-33.9537,17.4297,0.7026,0.7026
-33.8824,17.3584,0.7026,0.7026
-33.8824,17.2871,0.7275,0.7275
-33.8110,17.2157,0.7134,0.7134
-33.7397,17.1444,0.7062,0.7062
-33.6683,17.0730,0.7062,0.7062
-33.5970,17.0017,0.7134,0.7134
-33.5257,17.0017,0.6730,0.6730
-33.4543,16.9304,0.7026,0.7026
-33.3830,16.9304,0.6768,0.6768
-33.3116,16.9304,0.6577,0.6577
-33.2403,16.8590,0.7170,0.7170
-33.1690,16.8590,0.7134,0.7134
-33.0976,16.8590,0.7134,0.7134
-33.0263,16.8590,0.7134,0.7134
-32.9549,16.7877,0.7134,0.7134
-32.8836,16.7877,0.7134,0.7134
-32.8123,16.7877,0.7134,0.7134
-32.7409,16.7877,0.7134,0.7134
-32.6696,16.7877,0.7134,0.7134
-32.5982,16.7877,0.7134,0.7134
-32.5269,16.7877,0.7134,0.7134
-32.4556,16.7877,0.7134,0.7134
-32.3842,16.7877,0.7134,0.7134
-32.3129,16.7877,0.7134,0.7134
-32.2415,16.7163,0.6421,0.6421
-32.1702,16.7163,0.6421,0.6421
-32.0989,16.7163,0.6421,0.6421
-32.0275,16.7163,0.6421,0.6421
-31.9562,16.7163,0.6460,0.6460
-31.8848,16.7163,0.6577,0.6577
-31.8135,16.7163,0.6768,0.6768
-31.7422,16.7163,0.7026,0.7026
-31.6708,16.6450,0.6421,0.6421
-31.5995,16.6450,0.6460,0.6460
-31.5281,16.6450,0.6577,0.6577
-31.4568,16.6450,0.6768,0.6768
-31.3855,16.5737,0.6381,0.6381
-31.3141,16.5737,0.6577,0.6577
-31.2428,16.5737,0.6768,0.6768
-31.1714,16.5737,0.7026,0.7026
-31.1001,16.5023,0.6730,0.6730
-31.0288,16.5023,0.7026,0.7026
-30.9574,16.4310,0.6730,0.6730
-30.8861,16.4310,0.7026,0.7026
-30.8147,16.3596,0.6730,0.6730
-30.7434,16.3596,0.7026,0.7026
-30.6721,16.2883,0.7026,0.7026
-30.6007,16.2883,0.7026,0.7026
-30.5294,16.2170,0.7062,0.7062
-30.4580,16.1456,0.7062,0.7062
-30.3867,16.1456,0.6730,0.6730
-30.3154,16.0743,0.7026,0.7026
-30.2440,16.0029,0.7062,0.7062
-30.1727,15.9316,0.7062,0.7062
-30.1013,15.8603,0.7062,0.7062
-30.0300,15.7889,0.7062,0.7062
-29.9587,15.7176,0.7062,0.7062
-29.8873,15.6462,0.7026,0.7026
-29.8160,15.5749,0.6730,0.6730
-29.8160,15.5036,0.7062,0.7062
-29.7446,15.4322,0.7062,0.7062
-29.6733,15.3609,0.7026,0.7026
-29.6733,15.2895,0.7026,0.7026
-29.6020,15.2182,0.7134,0.7134
-29.6020,15.1469,0.6730,0.6730
-29.5306,15.0755,0.7026,0.7026
-29.4593,15.0042,0.7026,0.7026
-29.4593,14.9328,0.7026,0.7026
-29.3879,14.8615,0.7026,0.7026
-29.3879,14.7902,0.6730,0.6730
-29.3166,14.7188,0.7026,0.7026
-29.3166,14.6475,0.6730,0.6730
-29.2453,14.5761,0.7026,0.7026
-29.2453,14.5048,0.6730,0.6730
-29.1739,14.4335,0.7026,0.7026
-29.1739,14.3621,0.6768,0.6768
-29.1026,14.2908,0.7026,0.7026
-29.1026,14.2194,0.7026,0.7026
-29.0312,14.1481,0.7026,0.7026
-29.0312,14.0768,0.7026,0.7026
-29.0312,14.0054,0.6730,0.6730
-28.9599,13.9341,0.7026,0.7026
-28.9599,13.8627,0.6768,0.6768
-28.8886,13.7914,0.7026,0.7026
-28.8886,13.7201,0.7026,0.7026
-28.8886,13.6487,0.6768,0.6768
-28.8172,13.5774,0.7026,0.7026
-28.8172,13.5060,0.7026,0.7026
-28.8172,13.4347,0.6768,0.6768
-28.7459,13.3634,0.7026,0.7026
-28.7459,13.2920,0.7026,0.7026
-28.7459,13.2207,0.6768,0.6768
-28.6745,13.1493,0.7026,0.7026
-28.6745,13.0780,0.7026,0.7026
-28.6745,13.0067,0.6768,0.6768
-28.6745,12.9353,0.6577,0.6577
-28.6032,12.8640,0.7026,0.7026
-28.6032,12.7926,0.6768,0.6768
-28.6032,12.7213,0.6577,0.6577
-28.5319,12.6500,0.7026,0.7026
-28.5319,12.5786,0.7026,0.7026
-28.5319,12.5073,0.6768,0.6768
-28.5319,12.4359,0.6577,0.6577
-28.4605,12.3646,0.7026,0.7026
-28.4605,12.2933,0.6768,0.6768
-28.4605,12.2219,0.6577,0.6577
-28.4605,12.1506,0.6460,0.6460
-28.3892,12.0792,0.7026,0.7026
-28.3892,12.0079,0.6768,0.6768
-28.3892,11.9366,0.6577,0.6577
-28.3178,11.8652,0.7170,0.7170
-28.3178,11.7939,0.7026,0.7026
-28.3178,11.7225,0.6768,0.6768
-28.3178,11.6512,0.6577,0.6577
-28.2465,11.5799,0.7026,0.7026
-28.2465,11.5085,0.6768,0.6768
-28.2465,11.4372,0.6577,0.6577
-28.2465,11.3658,0.6460,0.6460
-28.1752,11.2945,0.7026,0.7026
-28.1752,11.2232,0.6768,0.6768
-28.1752,11.1518,0.6577,0.6577
-28.1752,11.0805,0.6460,0.6460
-28.1038,11.0091,0.7026,0.7026
-28.1038,10.9378,0.6768,0.6768
-28.1038,10.8665,0.6577,0.6577
-28.0325,10.7951,0.7170,0.7170
-28.0325,10.7238,0.7026,0.7026
-28.0325,10.6524,0.6768,0.6768
-28.0325,10.5811,0.6577,0.6577
-27.9611,10.5098,0.7026,0.7026
-27.9611,10.4384,0.6768,0.6768
-27.9611,10.3671,0.6577,0.6577
-27.9611,10.2957,0.6460,0.6460
-27.8898,10.2244,0.7026,0.7026
-27.8898,10.1531,0.6768,0.6768
-27.8898,10.0817,0.6577,0.6577
-27.8898,10.0104,0.6460,0.6460
-27.8185,9.9390,0.7026,0.7026
-27.8185,9.8677,0.6768,0.6768
-27.8185,9.7964,0.6577,0.6577
-27.7471,9.7250,0.7170,0.7170
-27.7471,9.6537,0.7026,0.7026
-27.7471,9.5823,0.6768,0.6768
-27.7471,9.5110,0.6577,0.6577
-27.6758,9.4397,0.7026,0.7026
-27.6758,9.3683,0.6768,0.6768
-27.6758,9.2970,0.6577,0.6577
-27.6758,9.2256,0.6460,0.6460
-27.6044,9.1543,0.7026,0.7026
-27.6044,9.0830,0.6768,0.6768
-27.6044,9.0116,0.6577,0.6577
-27.5331,8.9403,0.7026,0.7026
-27.5331,8.8689,0.7026,0.7026
-27.5331,8.7976,0.6768,0.6768
-27.5331,8.7263,0.6577,0.6577
-27.5331,8.6549,0.6381,0.6381
-27.4618,8.5836,0.6768,0.6768
-27.4618,8.5122,0.6577,0.6577
-27.4618,8.4409,0.6460,0.6460
-27.3904,8.3696,0.7134,0.7134
-27.3904,8.2982,0.7026,0.7026
-27.3904,8.2269,0.6768,0.6768
-27.3904,8.1555,0.6577,0.6577
-27.3191,8.0842,0.7170,0.7170
-27.3191,8.0129,0.7026,0.7026
-27.3191,7.9415,0.6768,0.6768
-27.3191,7.8702,0.6577,0.6577
-27.2477,7.7988,0.7134,0.7134
-27.2477,7.7275,0.7026,0.7026
-27.2477,7.6562,0.6768,0.6768
-27.2477,7.5848,0.6577,0.6577
-27.1764,7.5135,0.7026,0.7026
-27.1764,7.4421,0.7026,0.7026
-27.1764,7.3708,0.6768,0.6768
-27.1764,7.2995,0.6577,0.6577
-27.1764,7.2281,0.6460,0.6460
-27.1051,7.1568,0.7134,0.7134
-27.1051,7.0854,0.7026,0.7026
-27.1051,7.0141,0.6768,0.6768
-27.1051,6.9428,0.6577,0.6577
-27.0337,6.8714,0.7134,0.7134
-27.0337,6.8001,0.7026,0.7026
-27.0337,6.7287,0.6768,0.6768
-27.0337,6.6574,0.6577,0.6577
-26.9624,6.5861,0.7026,0.7026
-26.9624,6.5147,0.7134,0.7134
-26.9624,6.4434,0.7026,0.7026
-26.9624,6.3720,0.6768,0.6768
-26.9624,6.3007,0.6577,0.6577
-26.8910,6.2294,0.7026,0.7026
-26.8910,6.1580,0.7134,0.7134
-26.8910,6.0867,0.7026,0.7026
-26.8910,6.0153,0.6768,0.6768
-26.8910,5.9440,0.6577,0.6577
-26.8197,5.8727,0.7134,0.7134
-26.8197,5.8013,0.7134,0.7134
-26.8197,5.7300,0.7026,0.7026
-26.8197,5.6586,0.6768,0.6768
-26.7484,5.5873,0.7026,0.7026
-26.7484,5.5160,0.7134,0.7134
-26.7484,5.4446,0.7026,0.7026
-26.7484,5.3733,0.6768,0.6768
-26.7484,5.3019,0.6577,0.6577
-26.6770,5.2306,0.7026,0.7026
-26.6770,5.1593,0.7134,0.7134
-26.6770,5.0879,0.7134,0.7134
-26.6770,5.0166,0.7026,0.7026
-26.6770,4.9452,0.6768,0.6768
-26.6057,4.8739,0.7026,0.7026
-26.6057,4.8026,0.7134,0.7134
-26.6057,4.7312,0.7134,0.7134
-26.6057,4.6599,0.7026,0.7026
-26.6057,4.5885,0.6768,0.6768
-26.5343,4.5172,0.7026,0.7026
-26.5343,4.4459,0.7134,0.7134
-26.5343,4.3745,0.7134,0.7134
-26.5343,4.3032,0.7026,0.7026
-26.5343,4.2318,0.6768,0.6768
-26.4630,4.1605,0.7026,0.7026
-26.4630,4.0892,0.7134,0.7134
-26.4630,4.0178,0.7134,0.7134
-26.4630,3.9465,0.7026,0.7026
-26.4630,3.8751,0.6768,0.6768
-26.3917,3.8038,0.6768,0.6768
-26.3917,3.7325,0.7026,0.7026
-26.3917,3.6611,0.7134,0.7134
-26.3917,3.5898,0.7026,0.7026
-26.3917,3.5184,0.6768,0.6768
-26.3917,3.4471,0.6577,0.6577
-26.3203,3.3758,0.7026,0.7026
-26.3203,3.3044,0.7134,0.7134
-26.3203,3.2331,0.7134,0.7134
-26.3203,3.1617,0.7026,0.7026
-26.3203,3.0904,0.6768,0.6768
-26.2490,3.0191,0.7026,0.7026
-26.2490,2.9477,0.7134,0.7134
-26.2490,2.8764,0.7134,0.7134
-26.2490,2.8050,0.7026,0.7026
-26.2490,2.7337,0.6768,0.6768
-26.1776,2.6624,0.6768,0.6768
-26.1776,2.5910,0.7026,0.7026
-26.1776,2.5197,0.7134,0.7134
-26.1776,2.4483,0.7134,0.7134
-26.1776,2.3770,0.7026,0.7026
-26.1776,2.3057,0.6768,0.6768
-26.1063,2.2343,0.7026,0.7026
-26.1063,2.1630,0.7134,0.7134
-26.1063,2.0916,0.7134,0.7134
-26.1063,2.0203,0.7134,0.7134
-26.1063,1.9490,0.7026,0.7026
-26.0350,1.8776,0.6768,0.6768
-26.0350,1.8063,0.7026,0.7026
-26.0350,1.7349,0.7134,0.7134
-26.0350,1.6636,0.7134,0.7134
-26.0350,1.5923,0.7026,0.7026
-26.0350,1.5209,0.6768,0.6768
-25.9636,1.4496,0.6768,0.6768
-25.9636,1.3782,0.7026,0.7026
-25.9636,1.3069,0.7134,0.7134
-25.9636,1.2356,0.7134,0.7134
-25.9636,1.1642,0.7026,0.7026
-25.9636,1.0929,0.6768,0.6768
-25.8923,1.0215,0.7026,0.7026
-25.8923,0.9502,0.7134,0.7134
-25.8923,0.8789,0.7134,0.7134
-25.8923,0.8075,0.7134,0.7134
-25.8923,0.7362,0.7026,0.7026
-25.8209,0.6648,0.6768,0.6768
-25.8209,0.5935,0.7026,0.7026
-25.8209,0.5222,0.7134,0.7134
-25.8209,0.4508,0.7134,0.7134
-25.8209,0.3795,0.7026,0.7026
-25.8209,0.3081,0.6768,0.6768
-25.7496,0.2368,0.6768,0.6768
-25.7496,0.1655,0.7026,0.7026
-25.7496,0.0941,0.7134,0.7134
-25.7496,0.0228,0.7134,0.7134
-25.7496,-0.0486,0.7026,0.7026
-25.7496,-0.1199,0.6768,0.6768
-25.6783,-0.1912,0.6768,0.6768
-25.6783,-0.2626,0.7026,0.7026
-25.6783,-0.3339,0.7134,0.7134
-25.6783,-0.4053,0.7134,0.7134
-25.6783,-0.4766,0.7026,0.7026
-25.6783,-0.5479,0.6768,0.6768
-25.6069,-0.6193,0.6768,0.6768
-25.6069,-0.6906,0.7026,0.7026
-25.6069,-0.7620,0.7134,0.7134
-25.6069,-0.8333,0.7134,0.7134
-25.6069,-0.9046,0.7026,0.7026
-25.6069,-0.9760,0.6768,0.6768
-25.6069,-1.0473,0.6577,0.6577
-25.5356,-1.1187,0.7026,0.7026
-25.5356,-1.1900,0.7134,0.7134
-25.5356,-1.2613,0.7134,0.7134
-25.5356,-1.3327,0.7134,0.7134
-25.5356,-1.4040,0.7026,0.7026
-25.5356,-1.4754,0.6768,0.6768
-25.4642,-1.5467,0.7026,0.7026
-25.4642,-1.6180,0.7134,0.7134
-25.4642,-1.6894,0.7134,0.7134
-25.4642,-1.7607,0.7134,0.7134
-25.4642,-1.8321,0.7026,0.7026
-25.4642,-1.9034,0.6768,0.6768
-25.3929,-1.9747,0.7026,0.7026
-25.3929,-2.0461,0.7134,0.7134
-25.3929,-2.1174,0.7134,0.7134
-25.3929,-2.1888,0.7134,0.7134
-25.3929,-2.2601,0.7134,0.7134
-25.3929,-2.3314,0.7026,0.7026
-25.3929,-2.4028,0.6768,0.6768
-25.3929,-2.4741,0.6577,0.6577
-25.3216,-2.5455,0.7134,0.7134
-25.3216,-2.6168,0.7134,0.7134
-25.3216,-2.6881,0.7134,0.7134
-25.3216,-2.7595,0.7134,0.7134
-25.3216,-2.8308,0.7134,0.7134
-25.3216,-2.9022,0.7026,0.7026
-25.3216,-2.9735,0.6768,0.6768
-25.3216,-3.0448,0.6577,0.6577
-25.3216,-3.1162,0.6460,0.6460
-25.2502,-3.1875,0.7134,0.7134
-25.2502,-3.2589,0.7134,0.7134
-25.2502,-3.3302,0.7134,0.7134
-25.2502,-3.4015,0.7134,0.7134
-25.2502,-3.4729,0.7134,0.7134
-25.2502,-3.5442,0.7026,0.7026
-25.2502,-3.6156,0.6768,0.6768
-25.2502,-3.6869,0.6577,0.6577
-25.2502,-3.7582,0.6460,0.6460
-25.2502,-3.8296,0.6421,0.6421
-25.2502,-3.9009,0.6421,0.6421
-25.1789,-3.9723,0.7134,0.7134
-25.1789,-4.0436,0.7134,0.7134
-25.1789,-4.1149,0.7134,0.7134
-25.1789,-4.1863,0.7134,0.7134
-25.1789,-4.2576,0.7134,0.7134
-25.1789,-4.3290,0.7026,0.7026
-25.1789,-4.4003,0.6768,0.6768
-25.1789,-4.4716,0.6577,0.6577
-25.1789,-4.5430,0.6460,0.6460
-25.1789,-4.6143,0.6421,0.6421
-25.1789,-4.6857,0.6421,0.6421
-25.1075,-4.7570,0.7134,0.7134
-25.1075,-4.8283,0.7134,0.7134
-25.1075,-4.8997,0.7134,0.7134
-25.1075,-4.9710,0.7134,0.7134
-25.1075,-5.0424,0.7134,0.7134
-25.1075,-5.1137,0.7134,0.7134
-25.1075,-5.1850,0.7134,0.7134
-25.1075,-5.2564,0.7134,0.7134
-25.1075,-5.3277,0.7026,0.7026
-25.1075,-5.3991,0.6768,0.6768
-25.1075,-5.4704,0.6577,0.6577
-25.1075,-5.5417,0.6460,0.6460
-25.1075,-5.6131,0.6421,0.6421
-25.0362,-5.6844,0.7134,0.7134
-25.0362,-5.7558,0.7134,0.7134
-25.0362,-5.8271,0.7134,0.7134
-25.0362,-5.8984,0.7134,0.7134
-25.0362,-5.9698,0.7134,0.7134
-25.0362,-6.0411,0.7134,0.7134
-25.0362,-6.1125,0.7134,0.7134
-25.0362,-6.1838,0.7134,0.7134
-25.0362,-6.2551,0.7134,0.7134
-25.0362,-6.3265,0.7134,0.7134
-25.0362,-6.3978,0.7134,0.7134
-25.0362,-6.4692,0.7134,0.7134
-25.0362,-6.5405,0.7134,0.7134
-25.0362,-6.6118,0.7134,0.7134
-25.0362,-6.6832,0.7134,0.7134
-25.0362,-6.7545,0.7134,0.7134
-25.0362,-6.8259,0.7134,0.7134
-24.9649,-6.8972,0.7134,0.7134
-24.9649,-6.9685,0.7134,0.7134
-24.9649,-7.0399,0.7134,0.7134
-24.9649,-7.1112,0.7134,0.7134
-24.9649,-7.1826,0.7134,0.7134
-24.9649,-7.2539,0.7134,0.7134
-24.9649,-7.3252,0.7134,0.7134
-24.9649,-7.3966,0.7134,0.7134
-24.9649,-7.4679,0.7134,0.7134
-24.9649,-7.5393,0.7134,0.7134
-24.9649,-7.6106,0.7134,0.7134
-24.9649,-7.6819,0.7134,0.7134
-24.9649,-7.7533,0.7134,0.7134
-24.9649,-7.8246,0.7134,0.7134
-24.9649,-7.8960,0.7134,0.7134
-24.9649,-7.9673,0.7134,0.7134
-24.9649,-8.0386,0.7134,0.7134
-24.9649,-8.1100,0.7134,0.7134
-24.9649,-8.1813,0.7134,0.7134
-24.9649,-8.2527,0.7134,0.7134
-24.9649,-8.3240,0.7134,0.7134
-24.9649,-8.3953,0.7134,0.7134
-24.9649,-8.4667,0.7134,0.7134
-24.9649,-8.5380,0.7134,0.7134
-24.9649,-8.6094,0.7134,0.7134
-24.9649,-8.6807,0.7134,0.7134
-24.9649,-8.7520,0.7134,0.7134
-24.9649,-8.8234,0.7134,0.7134
-24.9649,-8.8947,0.7134,0.7134
-24.9649,-8.9661,0.7134,0.7134
-24.9649,-9.0374,0.7134,0.7134
-24.9649,-9.1087,0.7134,0.7134
-24.9649,-9.1801,0.7134,0.7134
-24.9649,-9.2514,0.7134,0.7134
-24.9649,-9.3228,0.7134,0.7134
-24.9649,-9.3941,0.7134,0.7134
-24.9649,-9.4654,0.7134,0.7134
-24.9649,-9.5368,0.7134,0.7134
-24.9649,-9.6081,0.7134,0.7134
-24.9649,-9.6795,0.7134,0.7134
-24.9649,-9.7508,0.7134,0.7134
-24.9649,-9.8221,0.7134,0.7134
-24.9649,-9.8935,0.7134,0.7134
-24.9649,-9.9648,0.7134,0.7134
-24.9649,-10.0362,0.7134,0.7134
-24.9649,-10.1075,0.7134,0.7134
-24.9649,-10.1788,0.7134,0.7134
-24.9649,-10.2502,0.7134,0.7134
-24.9649,-10.3215,0.7134,0.7134
-24.9649,-10.3929,0.7134,0.7134
-24.9649,-10.4642,0.7134,0.7134
-24.9649,-10.5355,0.7134,0.7134
-24.9649,-10.6069,0.7134,0.7134
-24.9649,-10.6782,0.7134,0.7134
-25.0362,-10.7496,0.6577,0.6577
-25.0362,-10.8209,0.6768,0.6768
-25.0362,-10.8922,0.7026,0.7026
-25.0362,-10.9636,0.7134,0.7134
-25.0362,-11.0349,0.7134,0.7134
-25.0362,-11.1063,0.7134,0.7134
-25.0362,-11.1776,0.7134,0.7134
-25.0362,-11.2489,0.7134,0.7134
-25.0362,-11.3203,0.7134,0.7134
-25.0362,-11.3916,0.7134,0.7134
-25.0362,-11.4630,0.7134,0.7134
-25.1075,-11.5343,0.6421,0.6421
-25.1075,-11.6056,0.6421,0.6421
-25.1075,-11.6770,0.6421,0.6421
-25.1075,-11.7483,0.6460,0.6460
-25.1075,-11.8197,0.6577,0.6577
-25.1075,-11.8910,0.6768,0.6768
-25.1075,-11.9623,0.7026,0.7026
-25.1075,-12.0337,0.7134,0.7134
-25.1075,-12.1050,0.7134,0.7134
-25.1075,-12.1764,0.7134,0.7134
-25.1075,-12.2477,0.7134,0.7134
-25.1075,-12.3190,0.7134,0.7134
-25.1789,-12.3904,0.6460,0.6460
-25.1789,-12.4617,0.6577,0.6577
-25.1789,-12.5331,0.6768,0.6768
-25.1789,-12.6044,0.7026,0.7026
-25.1789,-12.6757,0.7134,0.7134
-25.1789,-12.7471,0.7134,0.7134
-25.1789,-12.8184,0.7134,0.7134
-25.1789,-12.8898,0.7134,0.7134
-25.1789,-12.9611,0.7026,0.7026
-25.2502,-13.0324,0.6768,0.6768
-25.2502,-13.1038,0.7026,0.7026
-25.2502,-13.1751,0.7134,0.7134
-25.2502,-13.2465,0.7134,0.7134
-25.2502,-13.3178,0.7134,0.7134
-25.2502,-13.3891,0.7026,0.7026
-25.3216,-13.4605,0.6768,0.6768
